BCRNAME;abd_ppy_median;abd_ppy_lower;abd_ppy_upper;bird_id
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-0.880950831093052;-2.17859725997432;0.38005109234831;Ruffed Grouse
TAIGA SHIELD AND HUDSON PLAINS;0.290695074001293;-0.800254815381885;1.42511301604659;Ruffed Grouse
BOREAL HARDWOOD TRANSITION;1.11671242939156;0.199119981689089;1.9748116865624;Ruffed Grouse
BOREAL SOFTWOOD SHIELD;1.36156979223587;0.811022817972291;2.31254060202377;Ruffed Grouse
TAIGA SHIELD AND HUDSON PLAINS;-6.35392211850698;-7.18231981696843;-4.29605650312557;Spruce Grouse
BOREAL SOFTWOOD SHIELD;-2.43892805606775;-3.35105033572791;-2.27474144374417;Spruce Grouse
BOREAL HARDWOOD TRANSITION;-1.96819139139619;-3.20849650848291;-0.733301833037497;Spruce Grouse
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;0.420652305433913;-4.20225750848215;3.48367869527977;Sharp-tailed Grouse
BOREAL HARDWOOD TRANSITION;0.514635947434489;-2.75784149213154;3.77958985234342;Sharp-tailed Grouse
TAIGA SHIELD AND HUDSON PLAINS;2.66949255400147;-0.563639006301365;6.78619527038056;Sharp-tailed Grouse
BOREAL SOFTWOOD SHIELD;4.72453747511249;1.40125214665027;6.68025114136108;Sharp-tailed Grouse
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-18.1162721066272;-27.3441164499848;-13.5720391581044;Gray Partridge
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-3.61013073865018;-5.02090274961767;-2.16636997793356;Ring-necked Pheasant
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-1.40717002082107;-2.22726138506927;-0.76517258308195;Pied-billed Grebe
BOREAL SOFTWOOD SHIELD;-1.02906478733283;-3.44401156782019;0.442160907722384;Pied-billed Grebe
BOREAL HARDWOOD TRANSITION;0.195669826327281;-1.00109970601737;0.917937019805935;Pied-billed Grebe
NA;NA;NA;NA;NA
BOREAL HARDWOOD TRANSITION;-8.24700591788515;-10.9173112403649;-5.70245191273769;Red-necked Grebe
BOREAL SOFTWOOD SHIELD;-5.22584320453386;-7.7087194627645;-2.1915140333483;Red-necked Grebe
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-3.84208827005937;-5.48815715311192;-2.10263506855848;Red-necked Grebe
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-3.37619564614127;-4.08840902592554;-2.3493315870166;Rock Pigeon
BOREAL HARDWOOD TRANSITION;-1.75140480292441;-2.69044331867388;-0.446340030255303;Rock Pigeon
BOREAL SOFTWOOD SHIELD;-1.39356772391641;-2.2717451286818;0.87666553624242;Rock Pigeon
NA;NA;NA;NA;NA
BOREAL SOFTWOOD SHIELD;-1.81374108344355;-2.60835346382385;-0.918305900373905;Mourning Dove
BOREAL HARDWOOD TRANSITION;-1.11901492790194;-1.60509438855308;-0.519090955116214;Mourning Dove
TAIGA SHIELD AND HUDSON PLAINS;-0.536449834761925;-2.19900144650699;0.154589592213714;Mourning Dove
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-0.369664377309106;-0.707003690373863;0.0931587976257435;Mourning Dove
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;2.74025436958313;1.84533389540978;3.73646315566699;Yellow-billed Cuckoo
BOREAL HARDWOOD TRANSITION;2.82522386982653;1.49295615608963;3.61863678540288;Yellow-billed Cuckoo
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-3.98172344676861;-4.89946478971554;-2.7116853087895;Black-billed Cuckoo
TAIGA SHIELD AND HUDSON PLAINS;-2.34897335667726;-3.36967352130083;0.353301764900119;Black-billed Cuckoo
BOREAL HARDWOOD TRANSITION;2.31350429714754;0.962348075233078;3.34188184757029;Black-billed Cuckoo
BOREAL SOFTWOOD SHIELD;2.94516278605607;1.52968483623812;5.20033210888078;Black-billed Cuckoo
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-1.9956706578465;-3.19113672467768;-1.1167072542906;Common Nighthawk
BOREAL HARDWOOD TRANSITION;-1.34339068273738;-3.59755676853525;0.00793461974374199;Common Nighthawk
BOREAL SOFTWOOD SHIELD;0.740535621435185;-0.482679707549407;1.99810441710659;Common Nighthawk
TAIGA SHIELD AND HUDSON PLAINS;0.964941899679379;-0.857341389474689;2.83033513606625;Common Nighthawk
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-6.54071109135945;-8.07722366422617;-5.33008917992354;Eastern Whip-poor-will
BOREAL HARDWOOD TRANSITION;-3.93978944635772;-4.66872835989256;-2.86589892036179;Eastern Whip-poor-will
BOREAL SOFTWOOD SHIELD;-2.72950418413678;-5.13725647543347;-2.10714592248623;Eastern Whip-poor-will
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-1.73561717793269;-2.40972383787581;-1.12153252883743;Chimney Swift
BOREAL HARDWOOD TRANSITION;-0.645282728981669;-2.46918617033643;2.45583062979641;Chimney Swift
BOREAL SOFTWOOD SHIELD;0.523363444730754;-1.7576681936839;2.38893763071613;Chimney Swift
NA;NA;NA;NA;NA
BOREAL SOFTWOOD SHIELD;0.195210337036613;-0.0958200270554154;1.52342633715718;Ruby-throated Hummingbird
BOREAL HARDWOOD TRANSITION;1.86849353390792;1.07945015954183;2.24289057506256;Ruby-throated Hummingbird
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;2.05245596613873;1.82564524832231;2.5146385507479;Ruby-throated Hummingbird
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-1.32581903773014;-3.03818967870386;-0.679068500517559;Virginia Rail
TAIGA SHIELD AND HUDSON PLAINS;-0.359113804066361;-2.15227910177698;0.377579065360462;Virginia Rail
BOREAL SOFTWOOD SHIELD;0.328059130894511;-1.00340344233689;1.45913154854932;Virginia Rail
BOREAL HARDWOOD TRANSITION;1.41254243763229;-1.25634061562977;3.76245646776332;Virginia Rail
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-2.3465398897928;-3.36318702842897;-1.46997928391595;Sora
BOREAL HARDWOOD TRANSITION;-1.65102175228767;-2.21430196737821;-0.423169040538746;Sora
TAIGA SHIELD AND HUDSON PLAINS;-0.663321032069286;-1.62366344191957;0.951884232234429;Sora
BOREAL SOFTWOOD SHIELD;3.61867340995717;2.07713234779679;5.02090017796372;Sora
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-0.872387500361064;-2.35922693965535;-0.321125219233295;Common Gallinule
BOREAL HARDWOOD TRANSITION;0.0496829591670177;-1.76625377652915;0.849828541871369;Common Gallinule
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-5.13913124127542;-7.08604885172624;-3.92351386096972;American Coot
BOREAL HARDWOOD TRANSITION;-4.74302127911416;-5.73783390889593;-3.64104236451649;American Coot
BOREAL SOFTWOOD SHIELD;-4.15630518226092;-6.85654366673408;-2.4532624720001;American Coot
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;2.63802859090347;0.925652459224002;4.1364017770818;Sandhill Crane
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-0.931203364776652;-1.39982467600207;-0.213643529736437;Killdeer
BOREAL HARDWOOD TRANSITION;-0.768224783455701;-1.84022102911383;0.238529054693265;Killdeer
TAIGA SHIELD AND HUDSON PLAINS;-0.249185399141969;-2.20744121445978;1.90865201339344;Killdeer
BOREAL SOFTWOOD SHIELD;0.632533179287338;-1.01691826223737;1.92071816829408;Killdeer
BOREAL HARDWOOD TRANSITION;-9.71836953483229;-11.1488784652357;-8.23221670708285;Upland Sandpiper
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-8.87679005887652;-10.6287911294974;-7.24726100637449;Upland Sandpiper
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-6.29677505284934;-7.44425681311093;-4.8181286712302;Wilson's Snipe
BOREAL HARDWOOD TRANSITION;-0.619223408050327;-1.21859133173724;-0.0466031661305694;Wilson's Snipe
BOREAL SOFTWOOD SHIELD;1.01600005917556;0.625112131103269;2.06342442352397;Wilson's Snipe
TAIGA SHIELD AND HUDSON PLAINS;2.57091830820763;1.56737909948332;4.32321179695706;Wilson's Snipe
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-2.45718612933198;-3.47480346026436;-1.97558087209172;Spotted Sandpiper
TAIGA SHIELD AND HUDSON PLAINS;0.355202876711148;-2.45056185395322;2.91970519331725;Spotted Sandpiper
BOREAL HARDWOOD TRANSITION;1.00613859934601;-0.212590944527505;2.04380177335571;Spotted Sandpiper
BOREAL SOFTWOOD SHIELD;1.28004182396638;-1.48206914281836;1.7092300598444;Spotted Sandpiper
BOREAL HARDWOOD TRANSITION;3.20446437795128;1.26189939303125;5.0346403577945;Greater Yellowlegs
BOREAL SOFTWOOD SHIELD;3.5348663906376;2.00959886996333;4.96724248774715;Greater Yellowlegs
TAIGA SHIELD AND HUDSON PLAINS;6.01051600216614;3.38829676530778;7.16168767130156;Greater Yellowlegs
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-3.52189840751832;-6.12358898447479;-1.01838357169258;Bonaparte's Gull
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
BOREAL HARDWOOD TRANSITION;-4.94458815643495;-6.11229227218672;-3.62247684451072;Ring-billed Gull
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-4.38765326459715;-5.0429392508746;-3.74230089275174;Ring-billed Gull
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
BOREAL HARDWOOD TRANSITION;-4.7244455778374;-5.45210546455326;-3.76932055096496;Herring Gull
BOREAL SOFTWOOD SHIELD;-4.07675820312782;-5.6081873883421;-2.91453646441637;Herring Gull
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-3.80588442842966;-4.56091044058243;-3.05356191536712;Herring Gull
TAIGA SHIELD AND HUDSON PLAINS;-2.35070498370813;-3.43302251639822;-1.68875344066329;Herring Gull
BOREAL HARDWOOD TRANSITION;-3.31811260627974;-4.52631592134054;-2.58397308243143;Caspian Tern
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-2.98714992928634;-3.51070341910359;-2.46519747128035;Caspian Tern
TAIGA SHIELD AND HUDSON PLAINS;-1.93512827520413;-2.53796448940465;-1.23674344451039;Caspian Tern
BOREAL SOFTWOOD SHIELD;-1.79090196277219;-3.12468517434492;-1.19295119808397;Caspian Tern
BOREAL HARDWOOD TRANSITION;-8.1936967767625;-10.9586218633766;-7.10556678803806;Black Tern
BOREAL SOFTWOOD SHIELD;-6.06083374169237;-7.4985557946789;-4.81354706098575;Black Tern
TAIGA SHIELD AND HUDSON PLAINS;-4.15709218201928;-5.21141849857058;-3.15114445368435;Black Tern
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-4.11798298439904;-5.26252072482791;-3.01977561995397;Black Tern
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-3.46699364497777;-4.61956571899174;-1.69755187799086;Forster's Tern
BOREAL HARDWOOD TRANSITION;0.339021706497264;-1.09348653367352;0.999503220573983;Forster's Tern
BOREAL SOFTWOOD SHIELD;1.84446774538677;1.15862382438055;3.24062296951795;Forster's Tern
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-3.1455185843564;-4.1193555489602;-1.20052436461424;Common Loon
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
TAIGA SHIELD AND HUDSON PLAINS;-2.35987997291533;-3.44763896791335;-1.35496288222597;Double-crested Cormorant
BOREAL HARDWOOD TRANSITION;-1.77905811721806;-2.93852719552702;-0.693132843584323;Double-crested Cormorant
BOREAL SOFTWOOD SHIELD;-1.51615517744598;-3.21222896635345;-0.631720376330572;Double-crested Cormorant
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-0.115852394155676;-0.851994209071657;0.590054611612009;Double-crested Cormorant
TAIGA SHIELD AND HUDSON PLAINS;0.1017944786429;-1.96054330181032;1.68298988525537;American White Pelican
BOREAL HARDWOOD TRANSITION;0.33407462332472;-1.10918955312156;2.10249840633479;American White Pelican
BOREAL SOFTWOOD SHIELD;0.836110014470393;-0.610367380155456;1.52908792485845;American White Pelican
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;1.9919496226294;0.223705064659886;3.528316830712;American White Pelican
TAIGA SHIELD AND HUDSON PLAINS;-6.61675556408139;-9.8124509924633;-2.89701156920974;American Bittern
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-4.29492584251326;-5.00028970836673;-2.88676729133954;American Bittern
BOREAL HARDWOOD TRANSITION;-2.59843192499651;-3.47914151931104;-1.96118242642939;American Bittern
BOREAL SOFTWOOD SHIELD;-1.91510541895758;-2.94194077693566;-0.828532599617164;American Bittern
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-1.04070990983155;-3.18852782972316;-0.134924564057902;Least Bittern
BOREAL HARDWOOD TRANSITION;0.138819807239941;-1.45288795706505;3.35429433003587;Least Bittern
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
TAIGA SHIELD AND HUDSON PLAINS;-1.93397053570447;-2.93066106634426;-1.44562644771213;Great Blue Heron
BOREAL HARDWOOD TRANSITION;-1.26132380163399;-2.39017109056243;-0.625639917631376;Great Blue Heron
